unnamed:_0,house_number,street,first_name,surname,age,relationship_to_head_of_house,marital_status,gender,occupation,infirmity,religion
0,1,Inverness Mission,Darren,Kaur,79.0,Head,Widowed,Male,"Retired Surveyor, building control",None,Christian
1,2,Inverness Mission,Dean,Hughes,66.0,Head,Widowed,Male,Financial trader,None,Christian
2,3,Inverness Mission,Andrew,Freeman,19.0,Head,Single,Male,University Student,None,Not Stated
3,4,Inverness Mission,Sally,Ward,40.0,Head,Single,Female,Chief Marketing Officer,None,Christian
4,4,Inverness Mission,Brandon,Thorpe,38.0,Partner,Single,Male,Secondary school teacher,None,Christian
5,4,Inverness Mission,Glenn,Ward,5.0,Son,N/A,Male,Student,None,Not Stated
6,5,Inverness Mission,Lesley,Gill,74.0,Head,Widowed,Female,Retired Dancer,None,Christian
7,6,Inverness Mission,Damien,Barber,41.0,Head,Divorced,Male,"Psychologist, clinical",None,Not Stated
8,7,Inverness Mission,Marie,Henderson,88.0,Head,Divorced,Female,Retired Energy engineer,None,Not Stated
9,8,Inverness Mission,Melanie,Cook,22.0,Head,Single,Female,University Student,None,Not Stated
10,9,Inverness Mission,Carl,O'Brien,64.0,Head,Married,Male,"Engineer, site",None,Christian
11,9,Inverness Mission,Melissa,O'Brien,62.0,Wife,Married,Female,Occupational therapist,None,Christian
12,10,Inverness Mission,Jessica,Law,59.0,Head,Single,Female,Facilities manager,None,Methodist
13,11,Inverness Mission,Sandra,Hardy,36.0,Head,Single,Female,Barista,None,Not Stated
14,11,Inverness Mission,Shaun,Hardy,2.0,Son,N/A,Male,Student,None,Not Stated
15,12,Inverness Mission,Marilyn,Rogers,46.0,Head,Divorced,Female,Building control surveyor,None,Christian
16,13,Inverness Mission,Philip,Murphy,66.0,Head,Married,Male,Unemployed,None,Not Stated
17,13,Inverness Mission,Katy,Murphy,61.0,Wife,Married,Female,Manufacturing systems engineer,None,Not Stated
18,14,Inverness Mission,Francesca,Baldwin,39.0,Head,Married,Female,Unemployed,None,Methodist
19,14,Inverness Mission,Stewart,Baldwin,41.0,Husband,Married,Male,Financial manager,None,Methodist
20,15,Inverness Mission,Stanley,Lawrence,21.0,Head,Single,Male,University Student,None,Sikh
21,16,Inverness Mission,Glen,O'Neill,42.0,Head,Single,Male,Intelligence analyst,None,Not Stated
22,16,Inverness Mission,Kyle,Turner,35.0,Unknown,Single,Male,Quantity surveyor,None,Not Stated
23,17,Inverness Mission,Andrea,Preston,61.0,Head,Single,Female,Advertising copywriter,None,Muslim
24,17,Inverness Mission,Denis,Haynes,67.0,Partner,Single,Male,"Merchandiser, retail",None,Muslim
25,18,Inverness Mission,Claire,Brown,84.0,Head,Married,Female,"Retired Lecturer, further education",None,Christian
26,18,Inverness Mission,Bruce,Brown,85.0,Husband,Married,Male,Retired Water engineer,None,Not Stated
27,19,Inverness Mission,Abigail,Smith,34.0,Head,Divorced,Female,Unemployed,None,Not Stated
28,19,Inverness Mission,Francis,Smith,9.0,Son,N/A,Male,Student,None,Not Stated
29,20,Inverness Mission,Mandy,Wood,53.0,Head,Divorced,Female,"Teacher, secondary school",None,Christian
30,20,Inverness Mission,Annette,Wood,17.0,Daughter,N/A,Female,Student,None,Not Stated
31,21,Inverness Mission,Timothy,Campbell,34.0,Head,Single,Male,Government social research officer,None,Methodist
32,22,Inverness Mission,Emily,Ahmed,43.0,Head,Married,Female,Textile designer,None,Methodist
33,22,Inverness Mission,Owen,Ahmed,45.0,Husband,Married,Male,Air cabin crew,None,Not Stated
34,23,Inverness Mission,Janet,Jones,39.0,Head,Married,Female,Building surveyor,None,Catholic
35,23,Inverness Mission,Leigh,Jones,44.0,Husband,Married,Male,Unemployed,None,Catholic
36,23,Inverness Mission,Wendy,Jones,8.0,Daughter,N/A,Female,Student,None,Not Stated
37,23,Inverness Mission,Karen,Jones,4.0,Daughter,N/A,Female,Student,None,Not Stated
38,24,Inverness Mission,Graeme,Kay,36.0,Head,Single,Male,"Geologist, engineering",None,Not Stated
39,24,Inverness Mission,Reece,Hutchinson,35.0,Unknown,Single,Male,Firefighter,None,Methodist
40,24,Inverness Mission,Wayne,Edwards,35.0,Unknown,Single,Male,"Chemist, analytical",None,Sikh
41,25,Inverness Mission,Connor,Evans,66.0,Head,Widowed,Male,Risk manager,None,Not Stated
42,26,Inverness Mission,Megan,Brown,36.0,Head,Single,Female,Barista,None,Not Stated
43,27,Inverness Mission,Craig,Murray,73.0,Head,Married,Male,"Retired Administrator, local government",None,Christian
44,27,Inverness Mission,Nicole,Murray,74.0,Wife,Married,Female,Retired Tax adviser,None,Christian
45,28,Inverness Mission,Aimee,Berry,45.0,Head,Married,Female,"Teacher, music",None,Not Stated
46,28,Inverness Mission,Frank,Berry-Jackson,42.0,Husband,Married,Male,Arts development officer,None,Not Stated
47,28,Inverness Mission,Jasmine,Berry-Jackson,18.0,Daughter,Divorced,Female,Student,None,Not Stated
48,29,Inverness Mission,Linda,Bishop,82.0,Head,Married,Female,Retired Recycling officer,None,Christian
49,29,Inverness Mission,Brian,Bishop,86.0,Husband,Married,Male,Retired Advertising account planner,None,Christian
50,30,Inverness Mission,Karen,Clark,20.0,Head,Single,Female,University Student,None,Not Stated
51,31,Inverness Mission,Josephine,McCarthy,42.0,Head,Single,Female,Herbalist,None,Not Stated
52,31,Inverness Mission,Joel,Ali,45.0,Partner,Single,Male,"Designer, exhibition/display",None,Not Stated
53,31,Inverness Mission,Paul,McCarthy,17.0,Son,N/A,Male,Student,None,Not Stated
54,32,Inverness Mission,Lesley,Richardson,47.0,Head,Divorced,Female,"Therapist, nutritional",None,Catholic
55,33,Inverness Mission,Kate,Jackson,33.0,Head,Single,Female,Solicitor,None,Not Stated
56,33,Inverness Mission,Dean,Roberts,35.0,Partner,Single,Male,"Designer, interior/spatial",None,Not Stated
57,34,Inverness Mission,Molly,Pearce,71.0,Head,Widowed,Female,Retired Music therapist,None,Methodist
58,35,Inverness Mission,Karl,Kent,25.0,Head,Divorced,Male,Chartered public finance accountant,None,Catholic
59,1,Gold Road,Reece,Higgins,82.0,Head,Married,Male,Unemployed,None,Christian
60,1,Gold Road,Kerry,Nash,82.0,Wife,Married,Female,Retired Amenity horticulturist,None,Christian
61,2,Gold Road,Duncan,Harris,53.0,Head,Single,Male,Air traffic controller,None,Not Stated
62,2,Gold Road,Mathew,Harris,23.0,Son,Single,Male,Soil scientist,None,Not Stated
63,2,Gold Road,Alan,Harris,23.0,Son,Single,Male,Administrator,None,Not Stated
64,2,Gold Road,Bernard,Harris,21.0,Son,Divorced,Male,University Student,None,Not Stated
65,3,Gold Road,Douglas,Butcher,70.0,Head,Married,Male,"Retired Engineer, manufacturing systems",None,Christian
66,3,Gold Road,Rita,Norris,68.0,Wife,Married,Female,Retired Solicitor,None,Christian
67,4,Gold Road,Rosie,Walsh,27.0,Head,Married,Female,"Designer, textile",None,Not Stated
68,4,Gold Road,Kieran,Walsh,29.0,Husband,Married,Male,Multimedia specialist,None,Not Stated
69,4,Gold Road,Eric,Walsh,4.0,Son,N/A,Male,Student,None,Not Stated
